iter	Passed	Remaining
0	1	107
1	1	96
2	2	96
3	3	83
4	4	81
5	5	82
6	6	86
7	7	84
8	8	82
9	8	80
10	9	78
11	10	77
12	11	74
13	11	73
14	12	72
15	14	75
16	15	74
17	16	73
18	16	72
19	17	71
20	18	69
21	19	68
22	19	66
23	21	67
24	22	67
25	23	66
26	23	64
27	24	63
28	25	62
29	26	62
30	27	62
31	29	62
32	30	61
33	30	60
34	31	58
35	32	57
36	33	56
37	34	55
38	34	54
39	36	54
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	63	27
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
